AT1G09870	araport11
AT1G09880	araport11
AT1G04747	araport11
AT1G09890	araport11
AT1G09900	araport11
AT1G09910	araport11
AT1G09920	araport11
AT1G09930	OPT2
AT1G09932	araport11
AT1G09935	araport11
AT1G09940	HEMA2
AT1G09950	RAS1
AT1G09960	SUC4
AT1G04753	araport11
AT1G09970	LRR
AT1G09980	araport11
AT1G09995	araport11
AT1G10000	araport11
AT1G10010	AAP8
AT1G10020	araport11
AT1G10030	ERG28
AT1G10040	araport11
AT1G10050	araport11
AT1G10060	ATBCAT-1
AT1G10070	BCAT2
AT1G10090	araport11
AT1G10095	araport11
AT1G10100	araport11
AT1G04763	araport11
AT1G10110	araport11
AT1G04767	araport11
AT1G10120	BHLH74
AT1G04773	araport11
AT1G10130	ECA3
AT1G10140	araport11
AT1G10150	PP2A10
AT1G10155	ATPP2-A10
AT1G10170	ATNFXL1
AT1G10180	EXO84C
AT1G10190	araport11
AT1G10200	WLIM1
AT1G10210	MPK1
AT1G10220	araport11
AT1G10225	araport11
AT1G10230	ASK18
AT1G10240	FRS11
AT1G10250	araport11
AT1G04783	araport11
AT1G10270	GRP23
AT1G10280	araport11
AT1G10290	DRP2A
AT1G10300	araport11
AT1G10310	araport11
AT1G10320	araport11
AT1G10330	PCMP-E71
AT1G10340	araport11
AT1G10350	araport11
AT1G10360	GSTU18
